3	0.9772623
2	0.85564256
1	0.99252397
0	2.7449737
7	1.6275
6	1.5515465
5	1.2817541
4	1.2612135
9	1.6938527
8	1.7176358
times	4.993778
f	4.7330036
g	4.2932835
d	4.223315
e	3.5884912
b	3.3899608
c	3.3723185
n	4.5144157
o	5.32261
l	4.7902956
m	3.6093292
j	5.435283
k	4.7444324
h	3.8212686
i	3.7687888
w	5.925677
v	4.035321
u	3.831365
t	3.772696
s	4.141436
r	5.360193
q	4.006334
p	4.163695
z	5.9874725
y	2.4213686
x	4.028557
suốt	6.9590487
thoáng	8.217089
update	6.4630694
í	5.9484053
ì	5.8361716
ê	4.6983824
ã	7.16912
á	2.6197646
à	4.378832
hello	6.45668
ý	1.0929384
ú	6.733802
ù	6.522493
ô	2.7944255
ó	6.1658177
đ	5.022202
vani	6.991137
vang	3.804066
vanh	7.4698744
ĩ	5.6075635
musi	8.04719
muse	8.377431
coloccini	8.111728
ư	5.039035
ơ	4.990833
vaio	7.4698744
vali	6.5929446
vama	7.957577
valy	8.334871
potter	7.013116
warren	7.0821085
munteanu	9.2103405
ultrabook	7.058578
270.000	7.435388
mutu	7.9020076
rotterdam	8.421883
hđba	8.0164175
novara	5.9484053
thững	7.4875736
raymond	7.4875736
glass	7.1821923
manhunt	6.887953
timothy	7.8753395
discovery	7.6417246
marius	8.873868
khỏi	6.6766434
khỏe	7.278819
radamel	8.14563
natori	9.567016
camacho	7.7993536
hđtv	8.947976
tigôn	8.111728
toivonen	8.377431
hđqt	4.8408923
hđlđ	7.7993536
taylors	9.028019
thủy	7.1434774
hđnd	5.6408076
2a	7.2088604
35	3.4962776
36	3.926122
33	3.9424822
34	3.988904
mariah	6.7507515
39	4.211103
37	4.2253647
38	4.11659
2m	5.8853045
43	4.332094
42	4.115977
41	4.3820267
40	2.743729
2d	5.8327527
2b	7.5239415
2h	5.82595
2g	6.45668
22	2.8124113
23	2.798522
24	2.676261
25	2.5524576
26	2.5741315
27	2.9961324
28	3.023309
29	3.130407
30	1.9593501
1m	5.4608364
32	3.7554467
31	3.1810985
1b	7.3697906
1a	4.876979
1d	8.0789385
1h	6.2297215
1g	7.6009026
19	2.6156533
17	2.575707
18	2.4712405
15	2.0465486
16	2.4484205
13	2.5437653
14	2.471951
11	1.4476593
12	1.8850597
21	2.7424865
